[ 12-12-2012 @08:48:02 ] | INFO  | (AdminLogin.java : 29) =>   =============CURRENTLY IN ADMIN LOGIN PAGE============
[ 12-12-2012 @08:48:02 ] | DEBUG | (AdminLogin.java : 30) =>   ===========Currently in execute method===========
[ 12-12-2012 @08:48:02 ] | DEBUG | (AdminLogin.java : 35) =>   ---------mismatch of username and password------------
[ 12-12-2012 @08:48:13 ] | INFO  | (AdminLogin.java : 29) =>   =============CURRENTLY IN ADMIN LOGIN PAGE============
[ 12-12-2012 @08:48:13 ] | DEBUG | (AdminLogin.java : 30) =>   ===========Currently in execute method===========
[ 12-12-2012 @08:48:13 ] | DEBUG | (AdminLogin.java : 32) =>   ---------username and passwords matched------------
[ 12-12-2012 @08:48:25 ] | INFO  | (CityOperations.java : 44) =>   =============CURRENTLY IN ADD CITY BODY============
[ 12-12-2012 @08:48:25 ] | DEBUG | (CityOperations.java : 45) =>   ===========Currently in addNewCity method===========
[ 12-12-2012 @08:48:26 ] | INFO  | (CityOperations.java : 63) =>   -----------Add new city success---------
[ 12-12-2012 @08:48:26 ] | DEBUG | (CityOperations.java : 64) =>   ------Numbers of rows affected: 1--------
[ 12-12-2012 @08:48:30 ] | INFO  | (CityOperations.java : 71) =>   =============CURRENTLY IN VIEW CITIES BODY============
[ 12-12-2012 @08:48:30 ] | DEBUG | (CityOperations.java : 72) =>   ===========Currently in displayCities method===========
[ 12-12-2012 @08:48:30 ] | INFO  | (CityOperations.java : 89) =>   --------View cities success---------
[ 12-12-2012 @08:48:39 ] | INFO  | (CityOperations.java : 44) =>   =============CURRENTLY IN ADD CITY BODY============
[ 12-12-2012 @08:48:39 ] | DEBUG | (CityOperations.java : 45) =>   ===========Currently in addNewCity method===========
[ 12-12-2012 @08:48:39 ] | INFO  | (CityOperations.java : 63) =>   -----------Add new city success---------
[ 12-12-2012 @08:48:39 ] | DEBUG | (CityOperations.java : 64) =>   ------Numbers of rows affected: 1--------
[ 12-12-2012 @08:48:45 ] | INFO  | (CityOperations.java : 44) =>   =============CURRENTLY IN ADD CITY BODY============
[ 12-12-2012 @08:48:45 ] | DEBUG | (CityOperations.java : 45) =>   ===========Currently in addNewCity method===========
[ 12-12-2012 @08:48:45 ] | INFO  | (CityOperations.java : 63) =>   -----------Add new city success---------
[ 12-12-2012 @08:48:45 ] | DEBUG | (CityOperations.java : 64) =>   ------Numbers of rows affected: 1--------
[ 12-12-2012 @08:48:48 ] | INFO  | (CityOperations.java : 71) =>   =============CURRENTLY IN VIEW CITIES BODY============
[ 12-12-2012 @08:48:48 ] | DEBUG | (CityOperations.java : 72) =>   ===========Currently in displayCities method===========
[ 12-12-2012 @08:48:48 ] | INFO  | (CityOperations.java : 89) =>   --------View cities success---------
[ 12-12-2012 @08:50:06 ] | INFO  | (CityOperations.java : 97) =>   =============CURRENTLY IN MODIFY SELECTED CITY BODY============
[ 12-12-2012 @08:50:06 ] | DEBUG | (CityOperations.java : 98) =>   ===========Currently in getCityToModify method===========
[ 12-12-2012 @08:50:06 ] | INFO  | (CityOperations.java : 101) =>   City ID value: 2
[ 12-12-2012 @08:50:06 ] | INFO  | (CityOperations.java : 119) =>   setting City ID value as 2
[ 12-12-2012 @08:50:06 ] | INFO  | (CityOperations.java : 120) =>   setting City Name value as Mumbai
[ 12-12-2012 @08:50:06 ] | INFO  | (CityOperations.java : 121) =>   --------View cities success---------
[ 12-12-2012 @08:50:20 ] | INFO  | (CityOperations.java : 128) =>   =============CURRENTLY IN MODIFY SELECTED CITY BODY============
[ 12-12-2012 @08:50:20 ] | DEBUG | (CityOperations.java : 129) =>   ===========Currently in updateModifiedCity method===========
[ 12-12-2012 @08:50:20 ] | INFO  | (CityOperations.java : 135) =>   retrieved City ID value is 2
[ 12-12-2012 @08:50:20 ] | INFO  | (CityOperations.java : 136) =>   new City Name value is Delhi
[ 12-12-2012 @08:50:20 ] | INFO  | (CityOperations.java : 155) =>   -----------Update modified city success---------
[ 12-12-2012 @08:50:20 ] | DEBUG | (CityOperations.java : 156) =>   ------Numbers of rows affected: 1--------
[ 12-12-2012 @08:50:20 ] | INFO  | (CityOperations.java : 71) =>   =============CURRENTLY IN VIEW CITIES BODY============
[ 12-12-2012 @08:50:20 ] | DEBUG | (CityOperations.java : 72) =>   ===========Currently in displayCities method===========
[ 12-12-2012 @08:50:20 ] | INFO  | (CityOperations.java : 89) =>   --------View cities success---------
[ 12-12-2012 @14:26:35 ] | INFO  | (AdminLogin.java : 29) =>   =============CURRENTLY IN ADMIN LOGIN PAGE============
[ 12-12-2012 @14:26:35 ] | DEBUG | (AdminLogin.java : 30) =>   ===========Currently in execute method===========
[ 12-12-2012 @14:26:35 ] | DEBUG | (AdminLogin.java : 35) =>   ---------mismatch of username and password------------
[ 12-12-2012 @14:26:59 ] | INFO  | (AdminLogin.java : 29) =>   =============CURRENTLY IN ADMIN LOGIN PAGE============
[ 12-12-2012 @14:26:59 ] | DEBUG | (AdminLogin.java : 30) =>   ===========Currently in execute method===========
[ 12-12-2012 @14:26:59 ] | DEBUG | (AdminLogin.java : 35) =>   ---------mismatch of username and password------------
[ 12-12-2012 @14:49:45 ] | INFO  | (AdminLogin.java : 29) =>   =============CURRENTLY IN ADMIN LOGIN PAGE============
[ 12-12-2012 @14:49:45 ] | DEBUG | (AdminLogin.java : 30) =>   ===========Currently in execute method===========
[ 12-12-2012 @14:49:45 ] | DEBUG | (AdminLogin.java : 35) =>   ---------mismatch of username and password------------
[ 12-12-2012 @14:50:00 ] | INFO  | (AdminLogin.java : 29) =>   =============CURRENTLY IN ADMIN LOGIN PAGE============
[ 12-12-2012 @14:50:00 ] | DEBUG | (AdminLogin.java : 30) =>   ===========Currently in execute method===========
[ 12-12-2012 @14:50:00 ] | DEBUG | (AdminLogin.java : 35) =>   ---------mismatch of username and password------------
[ 12-12-2012 @14:50:08 ] | INFO  | (AdminLogin.java : 29) =>   =============CURRENTLY IN ADMIN LOGIN PAGE============
[ 12-12-2012 @14:50:08 ] | DEBUG | (AdminLogin.java : 30) =>   ===========Currently in execute method===========
[ 12-12-2012 @14:50:08 ] | DEBUG | (AdminLogin.java : 35) =>   ---------mismatch of username and password------------
[ 12-12-2012 @14:50:18 ] | INFO  | (AdminLogin.java : 29) =>   =============CURRENTLY IN ADMIN LOGIN PAGE============
[ 12-12-2012 @14:50:18 ] | DEBUG | (AdminLogin.java : 30) =>   ===========Currently in execute method===========
[ 12-12-2012 @14:50:18 ] | DEBUG | (AdminLogin.java : 35) =>   ---------mismatch of username and password------------
[ 12-12-2012 @21:33:03 ] | INFO  | (AdminLogin.java : 29) =>   =============CURRENTLY IN ADMIN LOGIN PAGE============
[ 12-12-2012 @21:33:03 ] | DEBUG | (AdminLogin.java : 30) =>   ===========Currently in execute method===========
[ 12-12-2012 @21:33:03 ] | DEBUG | (AdminLogin.java : 32) =>   ---------username and passwords matched------------
[ 12-12-2012 @21:33:09 ] | INFO  | (CityOperations.java : 73) =>   =============CURRENTLY IN VIEW CITIES BODY============
[ 12-12-2012 @21:33:09 ] | DEBUG | (CityOperations.java : 74) =>   ===========Currently in displayCities method===========
[ 12-12-2012 @21:33:10 ] | INFO  | (CityOperations.java : 91) =>   --------View cities success---------
[ 12-12-2012 @21:33:14 ] | INFO  | (CinemaOperations.java : 90) =>   =============LOADING ADD CINEMA BODY============
[ 12-12-2012 @21:33:14 ] | DEBUG | (CinemaOperations.java : 91) =>   ===========Currently in cityOpPanel method===========
[ 12-12-2012 @21:35:43 ] | INFO  | (CinemaOperations.java : 97) =>   =============CURRENTLY IN ADD CINEMA BODY============
[ 12-12-2012 @21:35:43 ] | DEBUG | (CinemaOperations.java : 98) =>   ===========Currently in addNewCinema method===========
[ 12-12-2012 @21:35:44 ] | INFO  | (CinemaOperations.java : 125) =>   -----------Add new cinema success---------
[ 12-12-2012 @21:35:44 ] | DEBUG | (CinemaOperations.java : 126) =>   ------Numbers of rows affected: 1--------
[ 12-12-2012 @21:35:48 ] | INFO  | (CityOperations.java : 73) =>   =============CURRENTLY IN VIEW CITIES BODY============
[ 12-12-2012 @21:35:48 ] | DEBUG | (CityOperations.java : 74) =>   ===========Currently in displayCities method===========
[ 12-12-2012 @21:35:48 ] | INFO  | (CityOperations.java : 91) =>   --------View cities success---------
[ 12-12-2012 @21:35:49 ] | INFO  | (CinemaOperations.java : 90) =>   =============LOADING ADD CINEMA BODY============
[ 12-12-2012 @21:35:49 ] | DEBUG | (CinemaOperations.java : 91) =>   ===========Currently in cityOpPanel method===========
[ 12-12-2012 @21:44:54 ] | INFO  | (CinemaOperations.java : 97) =>   =============CURRENTLY IN ADD CINEMA BODY============
