[ 12-12-2012 @08:48:26 ] | DEBUG | (CityDbControl.java : 22) =>   =============INSERT NEW CITY DB OP==============
[ 12-12-2012 @08:48:26 ] | DEBUG | (CityDbControl.java : 23) =>   ===========Currently in addNewCity (DB) method===========
[ 12-12-2012 @08:48:26 ] | DEBUG | (CityDbControl.java : 40) =>   insert statement execution success, rows affected: 1
[ 12-12-2012 @08:48:30 ] | DEBUG | (CityDbControl.java : 47) =>   =============GET ALL CITIES CITY DB OP==============
[ 12-12-2012 @08:48:30 ] | DEBUG | (CityDbControl.java : 48) =>   ===========Currently in getCities (DB) method===========
[ 12-12-2012 @08:48:30 ] | DEBUG | (CityDbControl.java : 72) =>   select statement execution success
[ 12-12-2012 @08:48:39 ] | DEBUG | (CityDbControl.java : 22) =>   =============INSERT NEW CITY DB OP==============
[ 12-12-2012 @08:48:39 ] | DEBUG | (CityDbControl.java : 23) =>   ===========Currently in addNewCity (DB) method===========
[ 12-12-2012 @08:48:39 ] | DEBUG | (CityDbControl.java : 40) =>   insert statement execution success, rows affected: 1
[ 12-12-2012 @08:48:45 ] | DEBUG | (CityDbControl.java : 22) =>   =============INSERT NEW CITY DB OP==============
[ 12-12-2012 @08:48:45 ] | DEBUG | (CityDbControl.java : 23) =>   ===========Currently in addNewCity (DB) method===========
[ 12-12-2012 @08:48:45 ] | DEBUG | (CityDbControl.java : 40) =>   insert statement execution success, rows affected: 1
[ 12-12-2012 @08:48:48 ] | DEBUG | (CityDbControl.java : 47) =>   =============GET ALL CITIES CITY DB OP==============
[ 12-12-2012 @08:48:48 ] | DEBUG | (CityDbControl.java : 48) =>   ===========Currently in getCities (DB) method===========
[ 12-12-2012 @08:48:48 ] | DEBUG | (CityDbControl.java : 72) =>   select statement execution success
[ 12-12-2012 @08:50:06 ] | DEBUG | (CityDbControl.java : 80) =>   =============GET SPECIFIC CITY RECORD DB OP==============
[ 12-12-2012 @08:50:06 ] | DEBUG | (CityDbControl.java : 81) =>   ===========Currently in getCityRecord (DB) method===========
[ 12-12-2012 @08:50:06 ] | DEBUG | (CityDbControl.java : 104) =>   select with where clause statement execution success
[ 12-12-2012 @08:50:20 ] | DEBUG | (CityDbControl.java : 111) =>   =============SET SPECIFIC CITY RECORD DB OP==============
[ 12-12-2012 @08:50:20 ] | DEBUG | (CityDbControl.java : 112) =>   ===========Currently in setCityRecord (DB) method===========
[ 12-12-2012 @08:50:20 ] | DEBUG | (CityDbControl.java : 136) =>   update statement execution success, rows affected: 1
[ 12-12-2012 @08:50:20 ] | DEBUG | (CityDbControl.java : 47) =>   =============GET ALL CITIES CITY DB OP==============
[ 12-12-2012 @08:50:20 ] | DEBUG | (CityDbControl.java : 48) =>   ===========Currently in getCities (DB) method===========
[ 12-12-2012 @08:50:20 ] | DEBUG | (CityDbControl.java : 72) =>   select statement execution success
[ 12-12-2012 @21:33:10 ] | DEBUG | (CityDbControl.java : 47) =>   =============GET ALL CITIES CITY DB OP==============
[ 12-12-2012 @21:33:10 ] | DEBUG | (CityDbControl.java : 48) =>   ===========Currently in getCities (DB) method===========
[ 12-12-2012 @21:33:10 ] | DEBUG | (CityDbControl.java : 72) =>   select statement execution success
[ 12-12-2012 @21:35:43 ] | DEBUG | (CinemaDbControl.java : 22) =>   =============INSERT NEW CINEMA DB OP==============
[ 12-12-2012 @21:35:43 ] | DEBUG | (CinemaDbControl.java : 23) =>   ===========Currently in addNewCinema (DB) method===========
[ 12-12-2012 @21:35:44 ] | DEBUG | (CinemaDbControl.java : 53) =>   insert statement execution success, rows affected: 1
[ 12-12-2012 @21:35:48 ] | DEBUG | (CityDbControl.java : 47) =>   =============GET ALL CITIES CITY DB OP==============
[ 12-12-2012 @21:35:48 ] | DEBUG | (CityDbControl.java : 48) =>   ===========Currently in getCities (DB) method===========
[ 12-12-2012 @21:35:48 ] | DEBUG | (CityDbControl.java : 72) =>   select statement execution success
[ 12-12-2012 @21:44:54 ] | DEBUG | (CinemaDbControl.java : 22) =>   =============INSERT NEW CINEMA DB OP==============
[ 12-12-2012 @21:44:54 ] | DEBUG | (CinemaDbControl.java : 23) =>   ===========Currently in addNewCinema (DB) method===========
[ 12-12-2012 @21:44:54 ] | DEBUG | (CinemaDbControl.java : 49) =>   Failed to execute insert
[ 12-12-2012 @21:44:54 ] | DEBUG | (CinemaDbControl.java : 53) =>   insert statement execution success, rows affected: 0
[ 12-12-2012 @22:23:03 ] | DEBUG | (CityDbControl.java : 47) =>   =============GET ALL CITIES CITY DB OP==============
[ 12-12-2012 @22:23:03 ] | DEBUG | (CityDbControl.java : 48) =>   ===========Currently in getCities (DB) method===========
[ 12-12-2012 @22:23:03 ] | DEBUG | (CityDbControl.java : 72) =>   select statement execution success
[ 12-12-2012 @22:23:05 ] | DEBUG | (CinemaDbControl.java : 62) =>   =============GET ALL CINEMA THEATRES DB OP==============
[ 12-12-2012 @22:23:05 ] | DEBUG | (CinemaDbControl.java : 63) =>   ===========Currently in getCinemaTheatres (DB) method===========
[ 12-12-2012 @22:23:05 ] | DEBUG | (CinemaDbControl.java : 92) =>   select statement execution success
[ 12-12-2012 @22:24:19 ] | DEBUG | (CinemaDbControl.java : 22) =>   =============INSERT NEW CINEMA DB OP==============
[ 12-12-2012 @22:24:19 ] | DEBUG | (CinemaDbControl.java : 23) =>   ===========Currently in addNewCinema (DB) method===========
[ 12-12-2012 @22:24:20 ] | DEBUG | (CinemaDbControl.java : 53) =>   insert statement execution success, rows affected: 1
[ 12-12-2012 @22:24:24 ] | DEBUG | (CinemaDbControl.java : 62) =>   =============GET ALL CINEMA THEATRES DB OP==============
[ 12-12-2012 @22:24:24 ] | DEBUG | (CinemaDbControl.java : 63) =>   ===========Currently in getCinemaTheatres (DB) method===========
[ 12-12-2012 @22:24:24 ] | DEBUG | (CinemaDbControl.java : 92) =>   select statement execution success
[ 13-12-2012 @02:34:41 ] | DEBUG | (CityDbControl.java : 47) =>   =============GET ALL CITIES CITY DB OP==============
[ 13-12-2012 @02:34:41 ] | DEBUG | (CityDbControl.java : 48) =>   ===========Currently in getCities (DB) method===========
[ 13-12-2012 @02:34:41 ] | DEBUG | (CityDbControl.java : 72) =>   select statement execution success
[ 13-12-2012 @02:34:46 ] | DEBUG | (CinemaDbControl.java : 62) =>   =============GET ALL CINEMA THEATRES DB OP==============
[ 13-12-2012 @02:34:46 ] | DEBUG | (CinemaDbControl.java : 63) =>   ===========Currently in getCinemaTheatres (DB) method===========
[ 13-12-2012 @02:34:46 ] | DEBUG | (CinemaDbControl.java : 92) =>   select statement execution success
[ 13-12-2012 @02:34:51 ] | DEBUG | (CityDbControl.java : 80) =>   =============GET SPECIFIC CITY RECORD DB OP==============
[ 13-12-2012 @02:34:51 ] | DEBUG | (CityDbControl.java : 81) =>   ===========Currently in getCityRecord (DB) method===========
[ 13-12-2012 @02:34:52 ] | DEBUG | (CityDbControl.java : 104) =>   select with where clause statement execution success
[ 13-12-2012 @02:37:15 ] | DEBUG | (CinemaDbControl.java : 62) =>   =============GET ALL CINEMA THEATRES DB OP==============
[ 13-12-2012 @02:37:15 ] | DEBUG | (CinemaDbControl.java : 63) =>   ===========Currently in getCinemaTheatres (DB) method===========
[ 13-12-2012 @02:37:15 ] | DEBUG | (CinemaDbControl.java : 92) =>   select statement execution success
[ 13-12-2012 @02:37:20 ] | DEBUG | (CinemaDbControl.java : 99) =>   =============GET SPECIFIC CINEMA RECORD DB OP==============
[ 13-12-2012 @02:37:20 ] | DEBUG | (CinemaDbControl.java : 100) =>   ===========Currently in getCinemaRecord (DB) method===========
[ 13-12-2012 @02:37:20 ] | DEBUG | (CinemaDbControl.java : 129) =>   select with where clause statement execution success
[ 13-12-2012 @02:38:21 ] | DEBUG | (CinemaDbControl.java : 136) =>   =============SET SPECIFIC CINEMA RECORD DB OP==============
[ 13-12-2012 @02:38:21 ] | DEBUG | (CinemaDbControl.java : 137) =>   ===========Currently in setCinemaRecord (DB) method===========
[ 13-12-2012 @02:38:22 ] | DEBUG | (CinemaDbControl.java : 171) =>   update statement execution success, rows affected: 1
[ 13-12-2012 @02:38:22 ] | DEBUG | (CinemaDbControl.java : 62) =>   =============GET ALL CINEMA THEATRES DB OP==============
[ 13-12-2012 @02:38:22 ] | DEBUG | (CinemaDbControl.java : 63) =>   ===========Currently in getCinemaTheatres (DB) method===========
[ 13-12-2012 @02:38:22 ] | DEBUG | (CinemaDbControl.java : 92) =>   select statement execution success
[ 13-12-2012 @02:40:06 ] | DEBUG | (CinemaDbControl.java : 179) =>   =============DELETE SPECIFIC CINEMA RECORD DB OP==============
[ 13-12-2012 @02:40:06 ] | DEBUG | (CinemaDbControl.java : 180) =>   ===========Currently in deleteCinema (DB) method===========
[ 13-12-2012 @02:40:06 ] | DEBUG | (CinemaDbControl.java : 197) =>   delete statement execution success, rows affected: 1
[ 13-12-2012 @02:40:06 ] | DEBUG | (CinemaDbControl.java : 62) =>   =============GET ALL CINEMA THEATRES DB OP==============
[ 13-12-2012 @02:40:06 ] | DEBUG | (CinemaDbControl.java : 63) =>   ===========Currently in getCinemaTheatres (DB) method===========
[ 13-12-2012 @02:40:06 ] | DEBUG | (CinemaDbControl.java : 92) =>   select statement execution success
[ 13-12-2012 @07:41:53 ] | DEBUG | (CityDbControl.java : 47) =>   =============GET ALL CITIES CITY DB OP==============
[ 13-12-2012 @07:41:53 ] | DEBUG | (CityDbControl.java : 48) =>   ===========Currently in getCities (DB) method===========
[ 13-12-2012 @07:41:53 ] | DEBUG | (CityDbControl.java : 72) =>   select statement execution success
[ 13-12-2012 @07:41:56 ] | DEBUG | (CinemaDbControl.java : 62) =>   =============GET ALL CINEMA THEATRES DB OP==============
[ 13-12-2012 @07:41:56 ] | DEBUG | (CinemaDbControl.java : 63) =>   ===========Currently in getCinemaTheatres (DB) method===========
[ 13-12-2012 @07:41:56 ] | DEBUG | (CinemaDbControl.java : 92) =>   select statement execution success
[ 13-12-2012 @07:42:01 ] | DEBUG | (ScreenDbControl.java : 55) =>   =============GET ALL SCREENS DB OP==============
[ 13-12-2012 @07:42:01 ] | DEBUG | (ScreenDbControl.java : 56) =>   ===========Currently in getScreens (DB) method===========
[ 13-12-2012 @07:42:01 ] | DEBUG | (ScreenDbControl.java : 84) =>   select statement execution success
[ 13-12-2012 @07:42:09 ] | DEBUG | (ScreenDbControl.java : 161) =>   =============DELETE SPECIFIC SCREEN RECORD DB OP==============
[ 13-12-2012 @07:42:09 ] | DEBUG | (ScreenDbControl.java : 162) =>   ===========Currently in deleteCinema (DB) method===========
[ 13-12-2012 @07:42:09 ] | DEBUG | (ScreenDbControl.java : 179) =>   delete statement execution success, rows affected: 1
[ 13-12-2012 @07:42:10 ] | DEBUG | (ScreenDbControl.java : 55) =>   =============GET ALL SCREENS DB OP==============
[ 13-12-2012 @07:42:10 ] | DEBUG | (ScreenDbControl.java : 56) =>   ===========Currently in getScreens (DB) method===========
[ 13-12-2012 @07:42:10 ] | DEBUG | (ScreenDbControl.java : 84) =>   select statement execution success
[ 13-12-2012 @07:42:11 ] | DEBUG | (ScreenDbControl.java : 91) =>   =============GET SPECIFIC SCREEN RECORD DB OP==============
[ 13-12-2012 @07:42:11 ] | DEBUG | (ScreenDbControl.java : 92) =>   ===========Currently in getScreenRecord (DB) method===========
[ 13-12-2012 @07:42:11 ] | DEBUG | (ScreenDbControl.java : 117) =>   select with where clause statement execution success
[ 13-12-2012 @07:42:17 ] | DEBUG | (ScreenDbControl.java : 124) =>   =============SET SPECIFIC SCREEN RECORD DB OP==============
[ 13-12-2012 @07:42:17 ] | DEBUG | (ScreenDbControl.java : 125) =>   ===========Currently in setScreenRecord (DB) method===========
